,county,date,state,fips,cases,deaths,new_cases,new_deaths,rolling_cases,rolling_deaths,14_day_diff,14_day_pct,active_cases,population,pop_2010,pop_change,pop_census,under_5,under_18,over_65,women,white,black,native_american,asian,pacific_islander,two_or_more_races,hispanic,white_not_hispanic,veterans,foreign_born,housing_units,owner_occupied_housing_units,med_value,med_owner_costs_w_mortgage,med_owner_costs_no_mortgage,median_rent,building permits,households,ppl_per_household,same_house_1_year,language_non_english,households_w_computer,households_w_broadband,high_school_grad,college_grad,disability,ppl_without_health_insurance,labor_force,women_labor_force,accom_food_sales,healthcare_revenue,manufacturer_shipments,merchant_wholesale_items,retail_sales,retail_sales_per_capita,commute_time,median_household_income,per_capita_income,poverty,hospital_beds,cases_per_1000,deaths_per_1000,deaths_per_cases,PCA1,PCA2,area,population_density,County,Trump,Biden,Total,biden_share,trump_share,vote_difference
0,Lexington,2021-08-10,South Carolina,45063.0,37775,486.0,163.0,0.0,229.85714285714286,0.5714285714285714,58.0,55.23809523809525,2762.0,295032.0,262429.0,0.124,262391.0,0.058,0.231,0.158,0.513,0.7979999999999999,0.155,0.005,0.022,0.001,0.019,0.063,0.745,21818.0,0.051,126197.0,0.74,151900.0,1191.0,372.0,907.0,1896.0,111265.0,2.54,0.862,0.071,0.8959999999999999,0.805,0.8959999999999999,0.301,0.096,0.121,0.648,0.601,455202.0,1058785.0,3620311.0,3889289.0,3974471.0,14698.0,25.7,59593.0,30316.0,0.125,1883.0,128.03695870278477,1.6472789392337102,0.0128656518861681,7.308733020151086,-0.6280630300028869,758,389.22427440633237,Lexington,92817,49301,144568,0.34102290963422055,0.6420300481434342,0.3010071385092137
1,Lee,2021-08-10,South Carolina,45061.0,2039,65.0,11.0,0.0,5.285714285714286,0.0,9.0,450.0,66.0,17142.0,19213.0,-0.108,19220.0,0.051,0.201,0.184,0.486,0.338,0.642,0.004,0.004,0.0,0.011,0.025,0.321,919.0,0.009000000000000001,7775.0,0.732,73300.0,1005.0,322.0,644.0,11.0,6357.0,2.51,0.929,0.025,0.731,0.5329999999999999,0.787,0.123,0.154,0.118,0.443,0.456,10117.0,18858.0,0.0,138176.0,86039.0,4612.0,26.7,31651.0,17544.0,0.281,0.0,118.94761404736904,3.7918562594796414,0.03187837175085827,-6.238477444975223,-0.41373068073215613,411,41.708029197080286,Lee,3008,5329,8431,0.6320721148143755,0.35677855533151465,-0.2752935594828609
2,Laurens,2021-08-10,South Carolina,45059.0,7805,172.0,13.0,0.0,15.285714285714285,0.0,-5.0,-27.777777777777786,162.0,66994.0,66535.0,0.006999999999999999,66537.0,0.057,0.218,0.185,0.517,0.72,0.254,0.004,0.006,0.001,0.015,0.051,0.679,4317.0,0.025,31503.0,0.7040000000000001,91300.0,1022.0,322.0,733.0,161.0,25373.0,2.54,0.838,0.046,0.8079999999999999,0.679,0.805,0.154,0.14800000000000002,0.141,0.568,0.529,56628.0,179011.0,1728181.0,115220.0,412059.0,6222.0,24.8,41578.0,21743.0,0.197,57.0,116.50297041526107,2.567394094993581,0.022037155669442664,-1.3809402033722131,-0.3483679936622464,724,92.53314917127071,Laurens,20004,10159,30488,0.3332130674363684,0.656127000787195,0.3229139333508266
3,Hampton,2021-08-10,South Carolina,45049.0,2123,53.0,17.0,0.0,11.142857142857142,0.14285714285714285,11.0,183.3333333333333,125.0,19351.0,21090.0,-0.08199999999999999,21090.0,0.053,0.213,0.184,0.488,0.438,0.537,0.005,0.006,0.0,0.014,0.041,0.41,1252.0,0.026,9169.0,0.738,73000.0,1032.0,300.0,551.0,6.0,6924.0,2.66,0.921,0.046,0.764,0.6559999999999999,0.8240000000000001,0.114,0.08800000000000001,0.123,0.525,0.516,16608.0,39766.0,156598.0,118236.0,164812.0,7952.0,31.1,32453.0,17523.0,0.258,32.0,109.7100925016795,2.7388765438478635,0.024964672633066416,-4.305069226963289,-0.9770367347789196,563,34.371225577264646,Hampton,3906,5323,9305,0.5720580333154218,0.4197743148844707,-0.15228371843095112
4,Kershaw,2021-08-10,South Carolina,45055.0,8480,144.0,39.0,0.0,52.85714285714285,0.0,21.0,116.66666666666666,620.0,65592.0,61592.0,0.065,61697.0,0.059,0.231,0.183,0.518,0.7240000000000001,0.247,0.004,0.008,0.001,0.017,0.044,0.688,6120.0,0.022,29381.0,0.8220000000000001,124700.0,1115.0,344.0,745.0,292.0,24833.0,2.58,0.927,0.043,0.8190000000000001,0.687,0.865,0.199,0.113,0.117,0.5710000000000001,0.5329999999999999,55473.0,0.0,1419717.0,43516.0,586319.0,9405.0,27.1,49392.0,24253.0,0.145,123.0,129.2840590315892,2.1953896816684964,0.016981132075471698,-0.4370245932479621,0.5000494486040228,740,88.63783783783785,Kershaw,20471,12699,33629,0.3776205061107972,0.6087305599333909,0.23111005382259364
5,Jasper,2021-08-10,South Carolina,45053.0,2760,50.0,20.0,0.0,23.142857142857146,0.14285714285714285,17.0,566.6666666666667,249.0,28971.0,24779.0,0.16899999999999998,24777.0,0.057,0.203,0.194,0.495,0.546,0.42,0.009000000000000001,0.009000000000000001,0.001,0.015,0.132,0.433,2250.0,0.08800000000000001,12072.0,0.685,154400.0,1190.0,388.0,906.0,447.0,9982.0,2.74,0.8640000000000001,0.128,0.7709999999999999,0.64,0.815,0.16899999999999998,0.119,0.204,0.599,0.5379999999999999,32320.0,89844.0,46243.0,146790.0,574808.0,22251.0,30.2,41930.0,22406.0,0.19,41.0,95.26768147457805,1.7258637948293116,0.018115942028985508,0.2057508373413165,0.6679584834163671,700,41.387142857142855,Jasper,7078,7185,14394,0.4991663192997082,0.4917326663887731,-0.007433652910935118
6,Horry,2021-08-10,South Carolina,45051.0,44647,606.0,233.0,3.0,263.2857142857143,1.2857142857142858,119.0,104.38596491228071,3331.0,344147.0,269126.0,0.279,269291.0,0.046,0.179,0.24,0.518,0.8270000000000001,0.131,0.006,0.014,0.001,0.021,0.061,0.775,27893.0,0.061,210698.0,0.708,172500.0,1229.0,389.0,915.0,4520.0,128586.0,2.46,0.851,0.07400000000000001,0.902,0.8140000000000001,0.898,0.236,0.12,0.174,0.568,0.524,1716688.0,1274110.0,759758.0,734255.0,5240156.0,18563.0,22.3,48279.0,26917.0,0.14300000000000002,690.0,129.73235274461206,1.7608754398556432,0.013573140412569714,7.495200806334057,2.4489477429026816,1255,274.2207171314741,Horry,118821,59180,179744,0.3292460388107531,0.6610568363895318,0.33181079757877874
7,Lancaster,2021-08-10,South Carolina,45057.0,11641,176.0,31.0,1.0,36.142857142857146,0.14285714285714285,18.0,138.46153846153842,439.0,95380.0,76653.0,0.244,76652.0,0.061,0.218,0.21,0.515,0.7490000000000001,0.21600000000000005,0.003,0.015,0.0,0.016,0.056,0.7,6044.0,0.04,38541.0,0.782,182400.0,1217.0,350.0,753.0,1228.0,32632.0,2.68,0.879,0.063,0.853,0.759,0.8640000000000001,0.269,0.098,0.133,0.569,0.535,65913.0,229041.0,1292486.0,719744.0,732889.0,9267.0,29.8,55223.0,29271.0,0.133,215.0,122.04864751520235,1.8452505766408047,0.015118976032986856,1.9072775582470145,1.5469393072413993,555,171.85585585585582,Lancaster,30312,18937,49868,0.37974252025346916,0.607844710034491,0.22810218978102187
8,Marion,2021-08-10,South Carolina,45067.0,3855,108.0,17.0,0.0,19.428571428571427,0.0,3.0,21.428571428571427,197.0,31039.0,33062.0,-0.061,33062.0,0.059,0.228,0.199,0.542,0.403,0.569,0.006999999999999999,0.006999999999999999,0.0,0.014,0.029,0.384,1928.0,0.021,14956.0,0.706,76700.0,920.0,354.0,559.0,77.0,11538.0,2.72,0.903,0.038,0.706,0.48,0.8079999999999999,0.14400000000000002,0.128,0.136,0.51,0.488,31960.0,51214.0,214095.0,208397.0,239046.0,7365.0,31.5,33046.0,19992.0,0.255,94.0,124.1985888720642,3.479493540384677,0.02801556420233463,-4.642482323573737,-2.0820484282963907,494,62.83198380566802,Marion,5711,8872,14704,0.6033732317736671,0.3883977149075082,-0.2149755168661589
9,Union,2021-08-10,South Carolina,45087.0,3342,82.0,3.0,0.0,9.0,0.0,-2.0,-40.0,111.0,27410.0,28972.0,-0.054000000000000006,28961.0,0.058,0.212,0.203,0.526,0.653,0.322,0.003,0.004,0.001,0.018000000000000002,0.017,0.642,1796.0,0.006,14095.0,0.693,77300.0,933.0,328.0,664.0,26.0,11544.0,2.35,0.87,0.009000000000000001,0.7559999999999999,0.62,0.8140000000000001,0.121,0.15,0.121,0.562,0.525,20987.0,0.0,524484.0,43431.0,195675.0,6926.0,27.7,40120.0,22372.0,0.204,49.0,121.92630426851515,2.991608901860635,0.024536205864751647,-3.25945659103438,-0.4736380818031751,516,53.12015503875969,Union,8183,4935,13257,0.3722561665535189,0.6172588066681753,0.24500264011465644
10,McCormick,2021-08-10,South Carolina,45065.0,1085,28.0,1.0,0.0,2.2857142857142856,0.0,1.0,inf,34.0,9410.0,10233.0,-0.08,10233.0,0.028,0.119,0.349,0.463,0.528,0.453,0.001,0.006,0.001,0.011,0.014,0.518,1054.0,0.023,5671.0,0.7659999999999999,117700.0,1179.0,426.0,579.0,65.0,3967.0,2.11,0.877,0.03,0.773,0.672,0.813,0.202,0.17,0.12,0.354,0.393,0.0,12125.0,0.0,0.0,31851.0,3203.0,26.3,42262.0,24419.0,0.18600000000000005,0.0,115.3028692879915,2.975557917109458,0.025806451612903226,-5.1273318365686675,7.294378373919608,394,23.88324873096447,McCormick,2958,2687,5697,0.47165174653326314,0.5192206424433913,0.04756889591012814
11,Newberry,2021-08-10,South Carolina,45071.0,5435,109.0,5.0,0.0,19.285714285714285,0.14285714285714285,-10.0,-66.66666666666667,253.0,38520.0,37508.0,0.027000000000000003,37508.0,0.06,0.218,0.196,0.512,0.659,0.308,0.008,0.006999999999999999,0.003,0.016,0.076,0.602,2172.0,0.043,18325.0,0.73,100000.0,1099.0,350.0,722.0,77.0,14939.0,2.47,0.901,0.076,0.762,0.633,0.81,0.171,0.096,0.14800000000000002,0.579,0.531,36609.0,107280.0,1651454.0,160529.0,428103.0,11393.0,24.8,42765.0,23344.0,0.171,48.0,141.0955347871236,2.8296988577362407,0.020055197792088315,-1.115352434119605,0.0940515651658132,647,59.536321483771246,Newberry,11443,6958,18631,0.37346358220170683,0.614191401427728,0.24072781922602116
12,Oconee,2021-08-10,South Carolina,45073.0,10527,146.0,21.0,0.0,32.857142857142854,0.42857142857142855,14.0,200.0,390.0,78374.0,74275.0,0.055,74273.0,0.049,0.199,0.232,0.508,0.892,0.076,0.004,0.009000000000000001,0.0,0.018000000000000002,0.057,0.841,6628.0,0.038,40806.0,0.722,155200.0,1157.0,322.0,725.0,437.0,31818.0,2.38,0.866,0.057,0.835,0.7140000000000001,0.8390000000000001,0.246,0.16,0.151,0.528,0.478,81521.0,274464.0,2135248.0,201233.0,740964.0,9929.0,24.5,46056.0,28076.0,0.14400000000000002,242.0,134.31750325363004,1.862862684053385,0.01386909850859694,0.3870319494668122,2.726628283973537,674,116.28189910979229,Oconee,29698,10414,40668,0.2560735713583161,0.7302547457460411,0.474181174387725
13,Orangeburg,2021-08-10,South Carolina,45075.0,10471,258.0,19.0,0.0,29.285714285714285,0.2857142857142857,1.0,5.555555555555558,420.0,86934.0,92509.0,-0.06,92501.0,0.055,0.219,0.197,0.534,0.34700000000000003,0.622,0.006999999999999999,0.01,0.0,0.014,0.024,0.332,4937.0,0.018000000000000002,42785.0,0.68,93200.0,1086.0,368.0,679.0,59.0,32966.0,2.6,0.911,0.035,0.7609999999999999,0.633,0.856,0.195,0.109,0.139,0.542,0.508,152140.0,381933.0,2470371.0,387781.0,1016637.0,11114.0,28.5,36188.0,19992.0,0.259,286.0,120.44769595325191,2.967768652080889,0.024639480469869163,-2.3612415755651077,-1.6537255421668933,1128,77.06914893617021,Orangeburg,13603,27295,41205,0.6624196092707195,0.33012983861181894,-0.3322897706589006
14,Pickens,2021-08-10,South Carolina,45077.0,20032,311.0,71.0,0.0,66.71428571428571,0.7142857142857143,54.0,317.64705882352945,720.0,124937.0,119373.0,0.047,119224.0,0.051,0.19,0.165,0.502,0.889,0.07,0.003,0.021,0.0,0.018000000000000002,0.038,0.856,7777.0,0.035,55074.0,0.6759999999999999,138900.0,1086.0,340.0,749.0,600.0,47375.0,2.46,0.7979999999999999,0.046,0.855,0.752,0.8490000000000001,0.245,0.104,0.131,0.5670000000000001,0.52,186941.0,296686.0,1500765.0,301267.0,1163132.0,9719.0,25.5,47024.0,24803.0,0.166,131.0,160.3368097521151,2.4892545843104927,0.015525159744408946,1.8704555104702545,1.1109640198599142,512,244.017578125,Pickens,42907,13645,57546,0.237114656101206,0.7456122058874639,0.5084975497862579
15,Richland,2021-08-10,South Carolina,45079.0,52207,589.0,169.0,0.0,245.85714285714286,1.0,44.0,35.20000000000001,3062.0,414576.0,384450.0,0.078,384504.0,0.058,0.214,0.127,0.517,0.459,0.482,0.004,0.029,0.001,0.024,0.052000000000000005,0.421,31545.0,0.055,175070.0,0.588,158200.0,1294.0,441.0,952.0,2644.0,150309.0,2.51,0.775,0.085,0.915,0.799,0.911,0.377,0.099,0.11,0.634,0.62,862224.0,3202506.0,5374991.0,4191339.0,4780665.0,12139.0,21.7,53922.0,29010.0,0.16699999999999998,0.0,125.92865964262282,1.4207286480645285,0.011282011990729212,9.161645810605712,-2.531471046419189,772,537.0155440414508,Richland,58313,132570,193822,0.6839780829833558,0.3008585196726894,-0.38311956331066643
16,Saluda,2021-08-10,South Carolina,45081.0,1898,48.0,5.0,0.0,7.428571428571429,0.0,2.0,66.66666666666667,72.0,20544.0,19869.0,0.034,19875.0,0.06,0.217,0.198,0.493,0.6940000000000001,0.265,0.014,0.004,0.01,0.014,0.162,0.579,1212.0,0.084,9434.0,0.737,107700.0,1146.0,330.0,684.0,40.0,7211.0,2.77,0.927,0.15,0.75,0.6459999999999999,0.792,0.161,0.08800000000000001,0.18600000000000005,0.5710000000000001,0.502,0.0,0.0,0.0,14445.0,115090.0,5785.0,30.3,44486.0,22174.0,0.149,0.0,92.38707165109035,2.336448598130841,0.02528977871443625,-1.1231015315948127,1.0429819799480629,462,44.46753246753247,Saluda,6210,2963,9274,0.31949536338149664,0.6696139745525124,0.3501186111710157
17,Spartanburg,2021-08-10,South Carolina,45083.0,44445,832.0,132.0,0.0,149.71428571428572,0.14285714285714285,71.0,116.39344262295084,1721.0,313888.0,284317.0,0.104,284307.0,0.061,0.231,0.162,0.515,0.741,0.21,0.004,0.025,0.001,0.019,0.071,0.68,18334.0,0.064,131451.0,0.696,133700.0,1090.0,336.0,773.0,2659.0,114640.0,2.57,0.851,0.101,0.86,0.764,0.853,0.238,0.107,0.129,0.614,0.568,477921.0,0.0,15038106.0,5340493.0,3966747.0,13738.0,22.7,50179.0,26072.0,0.136,638.0,141.59509124273623,2.6506269752268325,0.018719766002924958,6.478389969641932,-2.523787554350732,819,383.2576312576312,Spartanburg,93560,52926,148655,0.3560324240691534,0.6293767448118126,0.2733443207426592
18,Sumter,2021-08-10,South Carolina,45085.0,11979,211.0,104.0,0.0,74.85714285714286,0.0,42.0,67.74193548387098,908.0,106512.0,107490.0,-0.009000000000000001,107456.0,0.067,0.238,0.16399999999999998,0.519,0.479,0.479,0.006,0.015,0.001,0.02,0.041,0.449,11004.0,0.033,48284.0,0.647,113900.0,1062.0,346.0,776.0,279.0,41137.0,2.54,0.8440000000000001,0.063,0.828,0.728,0.836,0.185,0.152,0.128,0.5670000000000001,0.5479999999999999,126977.0,471114.0,1817534.0,341971.0,1096828.0,10151.0,22.4,43792.0,22272.0,0.187,196.0,112.46620099143759,1.9809974462971307,0.017614158110025882,0.2911305314318217,-2.3454243226775198,682,156.1759530791789,Sumter,21000,27379,48920,0.5596688470973017,0.42927228127555195,-0.13039656582174974
19,Greenwood,2021-08-10,South Carolina,45047.0,8658,175.0,6.0,0.0,24.285714285714285,0.14285714285714285,5.0,500.0,274.0,70741.0,69711.0,0.015,69661.0,0.06,0.226,0.185,0.534,0.6409999999999999,0.325,0.005,0.014,0.001,0.014,0.063,0.5920000000000001,4492.0,0.042,31541.0,0.642,117300.0,1011.0,319.0,705.0,115.0,27207.0,2.49,0.8759999999999999,0.057,0.812,0.703,0.8370000000000001,0.235,0.109,0.14400000000000002,0.585,0.545,102500.0,585232.0,2478939.0,837914.0,758896.0,10879.0,21.6,40982.0,23945.0,0.183,322.0,122.39012736602535,2.473812923198711,0.02021252021252021,0.1756199684844122,-1.221985217987009,463,152.78833693304534,Greenwood,19431,12145,32006,0.3794601012310192,0.6071049178279073,0.22764481659688812
20,Marlboro,2021-08-10,South Carolina,45069.0,3698,61.0,9.0,0.0,12.714285714285715,0.0,8.0,800.0,148.0,26398.0,28935.0,-0.08800000000000001,28933.0,0.053,0.199,0.18,0.478,0.414,0.511,0.049,0.005,0.0,0.021,0.033,0.392,1622.0,0.024,12009.0,0.6579999999999999,64000.0,864.0,294.0,556.0,13.0,9584.0,2.52,0.885,0.036000000000000004,0.708,0.562,0.759,0.094,0.157,0.145,0.493,0.522,14739.0,73084.0,881859.0,43517.0,185483.0,6590.0,24.4,34203.0,17034.0,0.3,0.0,140.08637017955903,2.310781119781802,0.016495402920497566,-5.297676227009173,-2.741843786649276,485,54.428865979381435,Marlboro,5044,6290,11446,0.5495369561418836,0.4406779661016949,-0.10885899004018867
21,Greenville,2021-08-10,South Carolina,45045.0,79436,1049.0,207.0,1.0,230.14285714285717,0.8571428571428571,124.0,149.39759036144576,2635.0,514213.0,451184.0,0.14,451225.0,0.062,0.23,0.158,0.515,0.764,0.185,0.005,0.026,0.001,0.02,0.093,0.6829999999999999,29704.0,0.081,214128.0,0.665,172100.0,1237.0,368.0,880.0,4669.0,189334.0,2.57,0.848,0.115,0.875,0.799,0.878,0.342,0.08800000000000001,0.131,0.639,0.583,999853.0,2261746.0,9628087.0,10153000.0,6380518.0,13645.0,22.6,56789.0,30776.0,0.111,1323.0,154.48073074776406,2.0400106570623446,0.01320559947630797,11.604373488763,-2.5730391932087144,795,646.8088050314466,Greenville,150021,103030,258155,0.3991013151013926,0.5811276171292441,0.18202630202785153
